theme,url,img,lines,author
GRIT,/inspirational-quotes/7404-the-same-boiling-water-that-softens-the-potato,https://assets.passiton.com/quotes/quote_artwork/7404/medium/20211026_tuesday_quote.jpg?1634921196,"The same boiling water that softens the potato hardens the egg. It's about what you're made of, not the circumstances.",<Author:0x00007f7ddc54c8e0>
GRIT,/inspirational-quotes/8272-what-we-accomplish-in-the-marathon-of-life,https://assets.passiton.com/quotes/quote_artwork/8272/medium/20211025_monday_quote.jpg?1634921166,What we accomplish in the marathon of life depends tremendously on our grit—our passion and perseverance for long-term goals.,<Author:0x00007f7ddc55ebd0>
BELIEVE IN YOURSELF,/inspirational-quotes/7676-i-don-t-like-to-gamble-but-if-there-s-one,https://assets.passiton.com/quotes/quote_artwork/7676/medium/20211022_friday_quote.jpg?1634252268,"I don’t like to gamble, but if there’s one thing I’m willing to bet on, it’s myself.",<Author:0x00007f7ddc5680e0>
BELIEVE IN YOURSELF,/inspirational-quotes/4548-put-all-excuses-aside-and-remember-this-you,https://assets.passiton.com/quotes/quote_artwork/4548/medium/20211021_thursday_quote.jpg?1634252220,Put all excuses aside and remember this: You are capable.,<Author:0x00007f7ddc578f30>
BELIEVE IN YOURSELF,/inspirational-quotes/8271-magic-is-believing-in-yourself-if-you-can-do,https://assets.passiton.com/quotes/quote_artwork/8271/medium/20211020_wednesday_quote.jpg?1634252195,"Magic is believing in yourself, if you can do that, you can make anything happen.",<Author:0x00007f7ddc591f08>
BELIEVE IN YOURSELF,/inspirational-quotes/7961-talk-to-yourself-like-you-would-to-someone-you,https://assets.passiton.com/quotes/quote_artwork/7961/medium/20211019_tuesday_quote.jpg?1634252141,Talk to yourself like you would to someone you love.,<Author:0x00007f7ddc5acb00>
BELIEVE IN YOURSELF,/inspirational-quotes/7679-believe-in-your-infinite-potential-your-only,https://assets.passiton.com/quotes/quote_artwork/7679/medium/20211018_monday_quote.jpg?1634251914,Believe in your infinite potential. Your only limitations are those you set upon yourself.,<Author:0x00007f7ddc5da320>
KINDNESS,/inspirational-quotes/7491-a-single-act-of-kindness-throws-out-roots-in,https://assets.passiton.com/quotes/quote_artwork/7491/medium/20211015_friday_quote.jpg?1633722687,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees.",<Author:0x00007f7ddc5f8398>
KINDNESS,/inspirational-quotes/7729-the-ideals-which-have-lighted-my-way-and-time,https://assets.passiton.com/quotes/quote_artwork/7729/medium/20211014_thursday_quote.jpg?1633722660,"The ideals which have lighted my way, and time after time have given me new courage to face life cheerfully, have been kindness, beauty and truth.",<Author:0x00007f7ddc626220>
KINDNESS,/inspirational-quotes/8270-sometimes-miracles-are-just-good-people-with,https://assets.passiton.com/quotes/quote_artwork/8270/medium/20211013_wednesday_quote.jpg?1633722638,Sometimes miracles are just good people with kind hearts.,<Author:0x00007f7ddc6fc4d8>
KINDNESS,/inspirational-quotes/6788-no-act-of-kindness-is-too-small-the-gift-of,https://assets.passiton.com/quotes/quote_artwork/6788/medium/20211012_tuesday_quote.jpg?1633722611,No act of kindness is too small. The gift of kindness may start as a small ripple that over time can turn into a tidal wave affecting the lives of many.,<Author:0x00007f7ddc72fa90>
KINDNESS,/inspirational-quotes/8269-ah-kindness-what-a-simple-way-to-tell-another,https://assets.passiton.com/quotes/quote_artwork/8269/medium/20211011_monday_quote.jpg?1633722590,"Ah, kindness. What a simple way to tell another struggling soul that there is love to be found in the world.",<Author:0x00007f7ddc74b830>
EDUCATION,/inspirational-quotes/8268-education-is-for-improving-the-lives-of-others,https://assets.passiton.com/quotes/quote_artwork/8268/medium/20211008_friday_quote.jpg?1633118711,Education is for improving the lives of others and for leaving your community and world better than you found it.,<Author:0x00007f7ddc771b70>
EDUCATION,/inspirational-quotes/7665-education-is-not-the-filling-of-a-pail-but-the,https://assets.passiton.com/quotes/quote_artwork/7665/medium/20211007_thursday_quote.jpg?1633118688,"Education is not the filling of a pail, but the lighting of a fire.",<Author:0x00007f7ddc7afc90>
